region,rubric,count,rank
Кемеровская область,Быстрое питание,76,5.0
Кемеровская область,Магазин продуктов,71,6.0
Кемеровская область,Супермаркет,69,7.0
Кемеровская область,Салон красоты,65,8.0
Кемеровская область,Доставка еды и обедов,48,9.0
Кемеровский муниципальный округ,Гостиница,8,1.0
Кемеровский муниципальный округ,Банк,3,2.0
Кемеровский муниципальный округ,Кафе,3,3.0
Кемеровский муниципальный округ,Баня,2,4.0
Кемеровский муниципальный округ,Быстрое питание,2,5.0
Кемеровский муниципальный округ,Магазин автозапчастей и автотоваров,2,6.0
Кемеровский муниципальный округ,"Магазин мяса, колбас",2,7.0
Кемеровский муниципальный округ,Магазин хозтоваров и бытовой химии,2,8.0
Кемеровский муниципальный округ,Свадебный салон,2,9.0
Киров,Ресторан,159,1.0
Киров,Кафе,154,2.0
Киров,Гостиница,143,3.0
Киров,Салон красоты,73,4.0
Киров,Магазин продуктов,67,5.0
Киров,Супермаркет,62,6.0
Киров,"Бар, паб",55,7.0
Киров,Косметология,42,8.0
Киров,Быстрое питание,39,9.0
Кирово-Чепецк,Кафе,7,1.0
Кирово-Чепецк,Гостиница,5,2.0
Кирово-Чепецк,Ресторан,5,3.0
Кирово-Чепецк,Магазин парфюмерии и косметики,3,4.0
Кирово-Чепецк,Банк,2,5.0
Кирово-Чепецк,Двери,2,6.0
Кирово-Чепецк,Доставка еды и обедов,2,7.0
Кирово-Чепецк,"Камины, печи",2,8.0
Кирово-Чепецк,Магазин мебели,2,9.0
Кирово-Чепецкий район,Гостиница,3,1.0
Кирово-Чепецкий район,Парк культуры и отдыха,2,2.0
Кирово-Чепецкий район,Сквер,2,3.0
Кирово-Чепецкий район,Автосалон,1,4.0
Кирово-Чепецкий район,"Автосервис, автотехцентр",1,5.0
Кирово-Чепецкий район,Горнолыжный комплекс,1,6.0
Кирово-Чепецкий район,Диагностический центр,1,7.0
Кирово-Чепецкий район,"Медцентр, клиника",1,8.0
Кирово-Чепецкий район,Специализированная больница,1,9.0
Кировская область,Ресторан,27,1.0
Кировская область,Гостиница,19,2.0
Кировская область,Кафе,19,3.0
Кировская область,Супермаркет,14,4.0
Кировская область,Магазин продуктов,12,5.0
Кировская область,Пиццерия,11,6.0
Кировская область,Салон красоты,10,7.0
Кировская область,Доставка еды и обедов,9,8.0
Кировская область,Быстрое питание,8,9.0
Кострома,Кафе,167,1.0
Кострома,Ресторан,149,2.0
Кострома,Гостиница,104,3.0
Кострома,Магазин продуктов,69,4.0
Кострома,Супермаркет,69,5.0
Кострома,"Бар, паб",52,6.0
Кострома,Быстрое питание,48,7.0
Кострома,Доставка еды и обедов,45,8.0
Кострома,Салон красоты,36,9.0
Костромская область,Ресторан,52,1.0
Костромская область,Кафе,44,2.0
Костромская область,"Бар, паб",33,3.0
Костромская область,Гостиница,15,4.0
Костромская область,Спа-салон,11,5.0
Костромская область,Магазин продуктов,9,6.0
Костромская область,Быстрое питание,8,7.0
Костромская область,Косметология,8,8.0
Костромская область,Массажный салон,8,9.0
Костромской район,Кафе,12,1.0
Костромской район,Ресторан,10,2.0
Костромской район,"Бар, паб",9,3.0
Костромской район,Православный храм,7,4.0
Костромской район,Магазин продуктов,5,5.0
Костромской район,Пиццерия,5,6.0
Костромской район,Доставка еды и обедов,3,7.0
Костромской район,"Магазин мяса, колбас",3,8.0
Костромской район,Парикмахерская,3,9.0
Красноармейский район,Ресторан,12,1.0
Красноармейский район,Кафе,11,2.0
Красноармейский район,Гостиница,8,3.0
Красноармейский район,Банкетный зал,5,4.0
Красноармейский район,Пиццерия,4,5.0
Красноармейский район,Развлекательный центр,4,6.0
Красноармейский район,"Бар, паб",3,7.0
Красноармейский район,Гипермаркет,3,8.0
Красноармейский район,Доставка еды и обедов,3,9.0
Краснодар,Кафе,1054,1.0
Краснодар,Ресторан,1023,2.0
Краснодар,Гостиница,816,3.0
Краснодар,Магазин продуктов,391,4.0
Краснодар,"Бар, паб",350,5.0
Краснодар,Салон красоты,336,6.0
Краснодар,Супермаркет,322,7.0
Краснодар,Быстрое питание,309,8.0
Краснодар,Доставка еды и обедов,247,9.0
Краснодарский край,Кафе,3677,1.0
Краснодарский край,Ресторан,3344,2.0
Краснодарский край,Гостиница,2543,3.0
Краснодарский край,Магазин продуктов,1338,4.0
Краснодарский край,Супермаркет,1171,5.0
Краснодарский край,"Бар, паб",1143,6.0
Краснодарский край,Салон красоты,1072,7.0
Краснодарский край,Быстрое питание,1036,8.0
Краснодарский край,Доставка еды и обедов,830,9.0
Красноярск,Кафе,355,1.0
Красноярск,Ресторан,342,2.0
Красноярск,Гостиница,263,3.0
Красноярск,Магазин продуктов,143,4.0
Красноярск,Салон красоты,128,5.0
Красноярск,Супермаркет,124,6.0
Красноярск,"Бар, паб",119,7.0
Красноярск,Быстрое питание,99,8.0
Красноярск,Доставка еды и обедов,95,9.0
